"VIAJEID","UBICACIONORIGENID","UBICACION_ORIGEN","DESC_UBICACION_ORI","LOCALIDAD_ORI","LATITUD_ORI","LONGITUD_ORI","UBICACIONDESTINOID","UBICACION_DESTINO","DESC_UBICACION_DEST","LOCALIDAD_DEST","LATITUD_DEST","LONGITUD_DEST","DEMORAINICIO","DURACIONVIAJE","HORARIOINICIOID","HI_COMPLETO","TIEMPOINICIOID","HORARIOINICIOREALID","HR_COMPLETO","TIEMPOINICIOREALID","HORARIOFINID","HF_COMPLETO","TIEMPOFINID","UNIDADID","TIPOUNIDADID","TIPOUNIDAD"
201333,34598,"sd","Benag - Coahuila de Zaragoza","Matamoros",27.2114,-101.9016,34592,"sd","Benag - Nuevo Leon","Monterrey",25.4809,-99.8142,0,1228,181,"12:03:00 a.m.",20210206,181,"12:03:00 a.m.",20210206,73861,"8:31:00 p.m.",20210206,44284,18,"Thorton"
209912,35597,"ZAPOPAN","MABE/ CDR/ GUADALAJARA","ZAPOPAN",20.721,-103.4845,37774,"SAN LORENZO ALMECATLA ","MABE/ ELEKTRA/ PUEBLA","CUAUTLANCINGO",19.1316,-98.2411,0,0,181,"12:03:00 a.m.",20210215,-1,"",0,-1,"",0,38336,18,"Thorton"
208669,35602,"COMISION NACIONAL DE ELECTRICI","MABE/ CDR/  SAN LUIS POTOSI","SAN LUIS POTOSI",22.0765,-100.8912,37726,"BLVD COSTERO","MABE/ RECINTO PORTUARIO/ MANZANILLO","MANZANILLO",19.0712,-104.2896,0,1429,181,"12:03:00 a.m.",20210219,181,"12:03:00 a.m.",20210219,85921,"11:52:00 p.m.",20210219,28408,18,"Thorton"
198920,37166,"Calle Río Danubio","CONAGRA / PQUE. CASTRO DEL RIO / IRAPUATO","IRAPUATO",20.7843,-101.3511,37280,"EMILIO PORTALES GIL","CONAGRA /DISTRIB. VIVERES / TAMAULIPAS","CD VICTORIA",0,0,0,2169,241,"12:04:00 a.m.",20210202,241,"12:04:00 a.m.",20210202,43981,"12:13:00 p.m.",20210203,36126,24,"Trailer"
206171,34847,"s","RADIO SHACK/ PLANTA/ SMO","12",19.6118,-99.2183,34868,"RENE JUAREZ ","RADIO SHACK/ GALERIAS CHILPANCINGO/ GUERRERO","CHILPANCINGO",17.5151,-99.4841,152,820,301,"12:05:00 a.m.",20210216,9421,"2:37:00 a.m.",20210216,58621,"4:17:00 p.m.",20210216,41611,13,"Pipa"
200083,35601,"BLVD. ISIDRO LOPEZ","MABE/ CDR/ SALTILLO","SALTILLO",25.5021,-100.9677,35596,"TEPEJI DEL RIO DE OCAMPO","MABE/ CDR/ HUEHUETOCA","TEPEJI DEL RIO ",19.8885,-99.2431,0,1385,301,"12:05:00 a.m.",20210204,301,"12:05:00 a.m.",20210204,83401,"11:10:00 p.m.",20210204,20227,18,"Thorton"
208659,33815,"QUERETARO-SAN LUIS POTOSI, PAR","FERRERO/ PLANTA / SAN JOSE ITURBIDE","SAN JOSE ITURBIDE",21.0559,-100.4705,34780,"a","FERRERO/ PLANTA/ ATITALAQUIA","Atitalaquia",20.0367,-99.251,0,621,361,"12:06:00 a.m.",20210220,361,"12:06:00 a.m.",20210220,37621,"10:27:00 a.m.",20210220,40700,18,"Thorton"
208047,33815,"QUERETARO-SAN LUIS POTOSI, PAR","FERRERO/ PLANTA / SAN JOSE ITURBIDE","SAN JOSE ITURBIDE",21.0559,-100.4705,34803,"s","FERRERO/ ECODELI/ PUEBLA","puebla",19.0813,-98.1492,0,646,361,"12:06:00 a.m.",20210219,361,"12:06:00 a.m.",20210219,39121,"10:52:00 a.m.",20210219,36677,24,"Trailer"
211004,35596,"TEPEJI DEL RIO DE OCAMPO","MABE/ CDR/ HUEHUETOCA","TEPEJI DEL RIO ",19.8885,-99.2431,37768,"","MABE/ REPARTO","",0,0,0,713,361,"12:06:00 a.m.",20210225,361,"12:06:00 a.m.",20210225,43141,"11:59:00 a.m.",20210225,33528,18,"Thorton"
201927,37166,"Calle Río Danubio","CONAGRA / PQUE. CASTRO DEL RIO / IRAPUATO","IRAPUATO",20.7843,-101.3511,37214,"ZAPOTLAN EL GRANDE","CONAGRA /ASTRID DEL TORO/ JALISCO","ZAPOTLAN",0,0,0,774,421,"12:07:00 a.m.",20210208,421,"12:07:00 a.m.",20210208,46861,"1:01:00 p.m.",20210208,34434,24,"Trailer"
209768,35599,"SALVATIERRA - CELAYA ","MABE/ CDR/ CELAYA","CELAYA",20.3687,-100.7933,35130,"Huichapan-San Juan del Río","MABE/ PATIO SAN JUAN DEL RIO/ QRO.","san juan del rio",20.3008,-99.8961,0,306,421,"12:07:00 a.m.",20210221,421,"12:07:00 a.m.",20210221,18781,"5:13:00 a.m.",20210221,20150,18,"Thorton"
211055,33704,"JUAN DE LA BARRERA","AMSA/ PLANTA/ GUADALAJARA","LAS JUNTAS GUADALAJARA",20.6192,-103.3385,33703,"REFORMA ","AMSA/ CEDIS TEXCOCO/ EDOMEX","TEXCOCO DE MORA",19.5374,-98.8335,276,712,601,"12:10:00 a.m.",20210225,17161,"4:46:00 a.m.",20210225,59881,"4:38:00 p.m.",20210225,45100,18,"Thorton"
211051,33704,"JUAN DE LA BARRERA","AMSA/ PLANTA/ GUADALAJARA","LAS JUNTAS GUADALAJARA",20.6192,-103.3385,33703,"REFORMA ","AMSA/ CEDIS TEXCOCO/ EDOMEX","TEXCOCO DE MORA",19.5374,-98.8335,465,531,601,"12:10:00 a.m.",20210225,28501,"7:55:00 a.m.",20210225,60361,"4:46:00 p.m.",20210225,41086,18,"Thorton"
206172,34847,"s","RADIO SHACK/ PLANTA/ SMO","12",19.6118,-99.2183,34887,"del Ferrocarril","RADIO SHACK/ MEGA CUAUTLA7 MORELOS","Cuautla",18.8474,-98.9372,416,552,601,"12:10:00 a.m.",20210216,25561,"7:06:00 a.m.",20210216,58681,"4:18:00 p.m.",20210216,27305,13,"Pipa"
211049,33704,"JUAN DE LA BARRERA","AMSA/ PLANTA/ GUADALAJARA","LAS JUNTAS GUADALAJARA",20.6192,-103.3385,33703,"REFORMA ","AMSA/ CEDIS TEXCOCO/ EDOMEX","TEXCOCO DE MORA",19.5374,-98.8335,260,638,601,"12:10:00 a.m.",20210225,16201,"4:30:00 a.m.",20210225,54481,"3:08:00 p.m.",20210225,18591,18,"Thorton"
211053,33704,"JUAN DE LA BARRERA","AMSA/ PLANTA/ GUADALAJARA","LAS JUNTAS GUADALAJARA",20.6192,-103.3385,33703,"REFORMA ","AMSA/ CEDIS TEXCOCO/ EDOMEX","TEXCOCO DE MORA",19.5374,-98.8335,278,715,601,"12:10:00 a.m.",20210225,17281,"4:48:00 a.m.",20210225,60181,"4:43:00 p.m.",20210225,19056,18,"Thorton"
199444,33905,"V. BARRIENTOS","BDF / CPA LOGISTICS CENTER / TLALNEPANTLA","TLALNEPANTLA DE BAZ",19.5754,-99.2024,37824,"","BDF/ ENTREGA DIRECTA","",0,0,240,565,601,"12:10:00 a.m.",20210203,15001,"4:10:00 a.m.",20210203,48901,"1:35:00 p.m.",20210203,16809,18,"Thorton"
211054,33704,"JUAN DE LA BARRERA","AMSA/ PLANTA/ GUADALAJARA","LAS JUNTAS GUADALAJARA",20.6192,-103.3385,33703,"REFORMA ","AMSA/ CEDIS TEXCOCO/ EDOMEX","TEXCOCO DE MORA",19.5374,-98.8335,260,731,601,"12:10:00 a.m.",20210225,16201,"4:30:00 a.m.",20210225,60061,"4:41:00 p.m.",20210225,16524,24,"Trailer"
211050,33704,"JUAN DE LA BARRERA","AMSA/ PLANTA/ GUADALAJARA","LAS JUNTAS GUADALAJARA",20.6192,-103.3385,33703,"REFORMA ","AMSA/ CEDIS TEXCOCO/ EDOMEX","TEXCOCO DE MORA",19.5374,-98.8335,0,0,601,"12:10:00 a.m.",20210225,-1,"",0,-1,"",0,16484,24,"Trailer"
201338,35601,"BLVD. ISIDRO LOPEZ","MABE/ CDR/ SALTILLO","SALTILLO",25.5021,-100.9677,36889,"Anahuac","MABE/ GRT MOVE/ NLD","Oradel Industrial Center",27.479,-99.6252,1481,520,661,"12:11:00 a.m.",20210205,3121,"12:52:00 a.m.",20210206,34321,"9:32:00 a.m.",20210206,29396,18,"Thorton"
212094,35886,"Tlaxcala","Repartos Tlaxcala","Tlaxcala",19.4163,-99.1468,36025,"Av. Ferrocarril","WALMART DIRECTO BA Ferrocarril Hidalgo #3774","SD",19.4163,-99.1468,0,0,1,"12:00:00 a.m.",20210227,1,"12:00:00 a.m.",20210227,-1,"",0,45967,18,"Thorton"
212091,35886,"Tlaxcala","Repartos Tlaxcala","Tlaxcala",19.4163,-99.1468,36025,"Av. Ferrocarril","WALMART DIRECTO BA Ferrocarril Hidalgo #3774","SD",19.4163,-99.1468,0,0,1,"12:00:00 a.m.",20210227,-1,"",0,-1,"",0,45968,18,"Thorton"
201284,35599,"SALVATIERRA - CELAYA ","MABE/ CDR/ CELAYA","CELAYA",20.3687,-100.7933,35598,"ANTIGUO CAMINO A CIENEGA","MABE/ CDR/ MONTERREY","MONTERREY",25.8813,-100.2399,1291,2319,1,"12:00:00 a.m.",20210205,77461,"9:31:00 p.m.",20210205,43801,"12:10:00 p.m.",20210207,44938,24,"Trailer"
201282,35599,"SALVATIERRA - CELAYA ","MABE/ CDR/ CELAYA","CELAYA",20.3687,-100.7933,35596,"TEPEJI DEL RIO DE OCAMPO","MABE/ CDR/ HUEHUETOCA","TEPEJI DEL RIO ",19.8885,-99.2431,1291,518,1,"12:00:00 a.m.",20210205,77461,"9:31:00 p.m.",20210205,22141,"6:09:00 a.m.",20210206,44937,24,"Trailer"
200029,34403,"Alfonso Reyes","RAGASA/ DEPOSITO DICKA LOGISTICS/ ESCOBEDO","ESCOBEDO",25.7695,-100.306,37926,"MEXICO-CUAUTLA","RAGASA/ WALMART CEDIS/ CHALCO","CHALCO DE COVARRUBIAS",19.2497,-98.8685,1313,1715,1,"12:00:00 a.m.",20210203,78781,"9:53:00 p.m.",20210203,8881,"2:28:00 a.m.",20210205,44143,24,"Trailer"
200034,34403,"Alfonso Reyes","RAGASA/ DEPOSITO DICKA LOGISTICS/ ESCOBEDO","ESCOBEDO",25.7695,-100.306,36321,"assa","RAGASA/ COMP. MAYORISTA DE ABARR./ VERACRUZ","s/d",19.4163,-99.1468,1313,5830,1,"12:00:00 a.m.",20210203,78781,"9:53:00 p.m.",20210203,82981,"11:03:00 p.m.",20210207,44823,24,"Trailer"
200030,34403,"Alfonso Reyes","RAGASA/ DEPOSITO DICKA LOGISTICS/ ESCOBEDO","ESCOBEDO",25.7695,-100.306,37921,"FRAMBOYANES","RAGASA/ IMPULSORA SAHUAYO/ VERACRUZ","VALENTE DIAZ",19.1647,-96.2407,1313,2183,1,"12:00:00 a.m.",20210203,78781,"9:53:00 p.m.",20210203,36961,"10:16:00 a.m.",20210205,44814,24,"Trailer"
206524,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,34482,"2 de Noviembre","ELEKTRA TEPOZOTLAN","TEPOZOTLAN ",19.7376,-99.2008,25,0,1,"12:00:00 a.m.",20210217,1501,"12:25:00 a.m.",20210217,-1,"",0,45443,13,"Pipa"
206049,34314,"FILOMENO MATA","GALDISA/ PLANTA 03/ IZTAPALAPA","IZTAPALAPA",19.3521,-99.0317,35061,"TEJOCOTES","GALDISA/ CEDIS SAN MARTIN OBISPO/ EDOMEX","CUAUTITLAN  IZCALLI",19.6042,-99.2145,0,2308,1,"12:00:00 a.m.",20210216,1,"12:00:00 a.m.",20210216,52081,"2:28:00 p.m.",20210217,45414,18,"Thorton"
202933,37720,"ATT","AT&T/ PLANTA TRES RIOS/ CUAUTITLAN IZCALLI","Cuautitlán Izcalli",19.6961,-99.2115,37800,"Monterrey","AT&T/ CLIENTE/ MONTERREY","Monterrey",25.7689,-100.481,540,1523,1,"12:00:00 a.m.",20210209,32401,"9:00:00 a.m.",20210209,37381,"10:23:00 a.m.",20210210,44623,13,"Pipa"
211340,34136,"JUAN DE LA BARRERA","PISA/ PLANTA ALAMO/ GUADALAJARA","GUIADALAJARA",20.6184,-103.339,34424,"Matilishuate","PISA/ IMSS ALMACEN/ TUXTLA GUTIERREZ","Tuxtla Gutierrez",16.7332,-93.0574,0,2289,1,"12:00:00 a.m.",20210226,1,"12:00:00 a.m.",20210226,50941,"2:09:00 p.m.",20210227,45886,24,"Trailer"
206516,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,34482,"2 de Noviembre","ELEKTRA TEPOZOTLAN","TEPOZOTLAN ",19.7376,-99.2008,527055,1224,1,"12:00:00 a.m.",20200217,901,"12:15:00 a.m.",20210217,74341,"8:39:00 p.m.",20210217,45080,18,"Thorton"
202361,34402,"MONTERREY - REYNOSA","RAGASA/ PLANTA/ GUADALUPE/ NUEVO LEÓN","GUADALUPE",25.6931,-100.1578,36958,"SD","RAGASA/ GRUPO PUMA ABAROTERO/ MORELIA","SD",0,0,1321,2406,1,"12:00:00 a.m.",20210208,79261,"10:01:00 p.m.",20210208,50821,"2:07:00 p.m.",20210210,45041,24,"Trailer"
202359,34402,"MONTERREY - REYNOSA","RAGASA/ PLANTA/ GUADALUPE/ NUEVO LEÓN","GUADALUPE",25.6931,-100.1578,37917,"A SAN PLABLO DEL MONTE ","RAGASA/ IMPULSORA SAHUAYO7 PUEBLA","CENTRAL DE BASTOS PUEBLA",19.0891,-98.1875,1321,2510,1,"12:00:00 a.m.",20210208,79261,"10:01:00 p.m.",20210208,57061,"3:51:00 p.m.",20210210,45040,24,"Trailer"
200033,34403,"Alfonso Reyes","RAGASA/ DEPOSITO DICKA LOGISTICS/ ESCOBEDO","ESCOBEDO",25.7695,-100.306,37932,"TLANEPANTLA-CUAUTITLAN","RAGASA/ SORIANA CEDIS/ TULTITLAN","TULTITLAN ",19.6243,-99.1847,1313,2188,1,"12:00:00 a.m.",20210203,78781,"9:53:00 p.m.",20210203,37261,"10:21:00 a.m.",20210205,44328,13,"Pipa"
209537,35596,"TEPEJI DEL RIO DE OCAMPO","MABE/ CDR/ HUEHUETOCA","TEPEJI DEL RIO ",19.8885,-99.2431,37739,"56","MABE/ COPPEL CEDIS/ MERIDA","KANASIN",20.9449,-89.5688,1020,1631,1,"12:00:00 a.m.",20210222,61201,"5:00:00 p.m.",20210222,72661,"8:11:00 p.m.",20210223,45693,24,"Trailer"
