UbicacionID,UbicacionMipsID,EmpresaID,Ubicacion,TipoUbicacion,NombreUbicacion,Latitud,Longitud,Localidad,ProvinciaID,PaisID,ParadaAutorizada
-2,-1,9,N/A,N/A,N/A,,,N/A,-1,4,NA
33686,2,9,Tecoloapan,Cliente,AVANTE/ KAMAFIL MALI/ EDOMEX,19.5961,-99.2162,ATIZAPAN DE ZARAGOZA,-2,4,Si
33687,3,9,OXIGENO,Cliente,AMSA/ SIMILARES/ VILLAHERMOSA,18.0389,-92.9055,MEDELLIN PIGUA ,-2,4,Si
33688,6,9,MINERIA DE CR,Cliente,AMSA/ SIMILARES CEDIS 904/ MONTERREY,25.7072,-100.4901,SANTA CATAARINA,-2,4,Si
33689,7,9,CIRCUITO ORIEETE,Cliente,AMSA/ SIMILARES CEDIS 908/ LEON,21.02,-101.4766,PARQUE INDUSTIRIAL ORIENTE,-2,4,Si
33690,8,9,JOSE LOPEZ PORTILLO,Cliente,AMSA/ SIMILARES CEDIS 914/ TULTITLAN,19.5967,-99.1831,TULTITLAN,-2,4,Si
33691,9,9,ROMPECLAS,Cliente,AMSA/ BRUDIFARMA/ GUSTAVO A MADERO,19.5271,-99.1574,GUSTAVO A MADERO,-2,4,Si
33692,10,9,SAN MARTIN DE LAS FLORES,Cliente,AMSA/ SIMILARES CEDIS 903/ GUADALAJARA,20.5887,-103.2873,GUADALAJARA,-2,4,Si
33693,11,9,Mineral,Cliente,PISA/ PHARMAMIGO/ PACHUCA,20.0748,-98.7134,Pachuca,-2,4,Si
33694,13,9,GIRASOL   35 ,Cliente,AMSA/ LEVIC/ TULTITLAN,19.5898,-99.1788,TUTLTITLAN,-2,4,Si
33695,14,9,MAR DE LA TRANQUILIDAD,Cliente,AMSA/ LEVIC/ TLAHUAC,19.284,-99.0102,TLAHUAC,-2,4,Si
33696,15,9,VICTOR HUGO COMPLEJO IND.,Cliente,AMSA/ SIMILARES CEDIS/ CHIHUAHUA,28.7204,-106.1147,PONCE DE LEON CHIHUAHUA,-2,4,Si
33697,16,9,PASEO DEL LAGO,Cliente,AMSA/ SIMILARES CEDIS/ TIJUANA,32.504,-116.9353,RIO  TIJUANA TERCERA ETAPA,-2,4,Si
33698,17,9,LAS TORRES,Cliente,AMSA/ SIMILARES CEDIS 906/ CD. OBREGON,27.4781,-109.9063,PARQUE INDUSTRIAL CD OBREGON,-2,4,Si
33699,18,9,ZETA,Cliente,AMSA/ COMERCIALIZADORA GFC/ LEÓN,21.0815,-101.6219,LEON,-2,4,Si
