origin_id,dest_id,origin_lat,origin_long,dest_lat,dest_long,unidad,tipo_unidad,real_start,real_end,real_minutes,calculated_minutes,calculated_kms,carga
35596,37739,19.8885,-99.2431,20.9449,-89.5688,20237,Thorton,2021-02-01 03:59:00,2021-02-02 06:21:00,1582,1582.4,1359.59,1
35248,35433,19.6115,-99.2182,17.0728,-96.7228,19912,Thorton,2021-02-01 04:00:00,2021-02-01 13:39:00,579,579.2,493.06,1
35596,37739,19.8885,-99.2431,20.9449,-89.5688,20243,Thorton,2021-02-01 05:03:00,2021-02-02 07:25:00,1582,1582.4,1359.59,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,32580,Thorton,2021-02-01 11:25:00,2021-02-01 16:56:00,331,331.20000000000005,285.36,1
36889,35601,27.479,-99.6252,25.5021,-100.9677,32580,Thorton,2021-02-01 16:56:00,2021-02-01 22:27:00,331,331.20000000000005,285.36,0
35601,36889,25.5021,-100.9677,27.479,-99.6252,32580,Thorton,2021-02-01 22:27:00,2021-02-02 03:58:00,331,331.20000000000005,285.36,1
35130,37739,20.3008,-99.8961,20.9449,-89.5688,20204,Thorton,2021-02-01 10:15:00,2021-02-02 14:08:00,1673,1673.6000000000001,1456.76,1
34550,35029,19.3264,-99.605,25.6488,-100.3031,36147,Thorton,2021-02-01 11:00:00,2021-02-02 05:04:00,1084,1084.8,887.57,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,34102,Thorton,2021-02-01 13:34:00,2021-02-01 19:05:00,331,331.20000000000005,285.36,1
35130,35552,20.3008,-99.8961,14.6775,-92.1613,35535,Thorton,2021-02-01 13:00:00,2021-02-02 14:15:00,1515,1515.2,1269.88,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,31788,Thorton,2021-02-01 16:25:00,2021-02-01 21:56:00,331,331.20000000000005,285.36,1
35596,37761,19.8885,-99.2431,17.9878,-92.981,28133,Thorton,2021-02-01 15:06:00,2021-02-02 06:16:00,910,910.4000000000001,798.87,1
35752,35753,18.0072,-93.5873,17.9877,-93.1538,21872,Thorton,2021-02-01 17:04:00,2021-02-01 18:25:00,81,81.60000000000001,56.15,1
34592,34579,25.4809,-99.8142,16.3224,-91.7911,35207,Thorton,2021-02-01 17:38:00,2021-02-03 05:01:00,2123,2123.2000000000003,1650.78,1
35599,35598,20.3687,-100.7933,25.8813,-100.2399,24026,Thorton,2021-02-01 19:40:00,2021-02-02 11:40:00,960,960.0,778.63,1
35599,35551,20.3687,-100.7933,19.215,-96.1789,20910,Thorton,2021-02-01 19:40:00,2021-02-02 07:17:00,697,697.6,615.8,1
37726,35597,19.0712,-104.2896,20.721,-103.4845,35265,Thorton,2021-02-01 21:22:00,2021-02-02 03:09:00,347,347.20000000000005,293.45,1
37726,35597,19.0712,-104.2896,20.721,-103.4845,37918,Thorton,2021-02-01 22:34:00,2021-02-02 04:21:00,347,347.20000000000005,293.45,1
37695,34470,20.4909,-103.5652,19.5872,-99.2106,32632,Thorton,2021-02-01 23:50:00,2021-02-02 10:15:00,625,625.6,555.1,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,32580,Thorton,2021-02-02 12:48:00,2021-02-02 18:19:00,331,331.20000000000005,285.36,1
35752,35753,18.0072,-93.5873,17.9877,-93.1538,21872,Thorton,2021-02-02 13:18:00,2021-02-02 14:39:00,81,81.60000000000001,56.15,1
34619,34622,19.0891,-98.1941,18.8585,-97.0805,18025,Thorton,2021-02-02 06:07:00,2021-02-02 08:51:00,164,164.8,146.02,1
33704,33700,20.6192,-103.3385,19.7268,-101.2069,16901,Thorton,2021-02-02 03:18:00,2021-02-02 08:44:00,326,326.40000000000003,286.25,1
35130,37746,20.3008,-99.8961,19.1659,-96.2267,27651,Thorton,2021-02-02 04:57:00,2021-02-02 14:42:00,585,585.6,514.42,1
35130,37747,20.3008,-99.8961,17.9801,-92.991,20150,Thorton,2021-02-02 04:57:00,2021-02-02 21:45:00,1008,1008.0,895.77,1
34137,34169,20.4886,-103.5597,19.1263,-98.2637,44704,Thorton,2021-02-02 05:00:00,2021-02-02 17:36:00,756,756.8000000000001,683.24,1
35597,35590,20.721,-103.4845,20.6756,-105.2473,28131,Thorton,2021-02-02 05:02:00,2021-02-02 11:14:00,372,372.8,306.15,1
35130,37775,20.3008,-99.8961,18.0398,-92.9048,20540,Thorton,2021-02-02 05:11:00,2021-02-02 22:08:00,1017,1017.6,908.19,1
34619,35011,19.0891,-98.1941,17.0655,-96.725,18030,Thorton,2021-02-02 05:53:00,2021-02-02 12:18:00,385,385.6,336.19,1
34110,35718,19.6196,-99.1802,16.9071,-99.9626,17209,Thorton,2021-02-02 06:00:00,2021-02-02 14:12:00,492,492.8,422.58,1
34619,34649,19.0891,-98.1941,17.0619,-96.7148,34120,Thorton,2021-02-02 06:07:00,2021-02-02 12:32:00,385,385.6,337.09,1
35752,35753,18.0072,-93.5873,17.9877,-93.1538,21914,Thorton,2021-02-02 06:37:00,2021-02-02 07:58:00,81,81.60000000000001,56.15,1
35602,35581,22.0765,-100.8912,19.389,-98.9778,41518,Thorton,2021-02-02 06:55:00,2021-02-02 14:51:00,476,476.8,403.11,1
35602,35581,22.0765,-100.8912,19.389,-98.9778,32416,Thorton,2021-02-02 06:55:00,2021-02-02 14:51:00,476,476.8,403.11,1
35602,36889,22.0765,-100.8912,27.479,-99.6252,27826,Thorton,2021-02-02 09:00:00,2021-02-02 23:40:00,880,880.0,724.35,1
35602,37725,22.0765,-100.8912,19.8709,-99.2337,22420,Thorton,2021-02-02 06:55:00,2021-02-02 13:51:00,416,416.0,344.88,1
35602,35584,22.0765,-100.8912,19.3619,-99.1052,29396,Thorton,2021-02-02 09:00:00,2021-02-02 17:03:00,483,483.20000000000005,404.8,1
33705,36461,19.7048,-99.2033,20.5706,-100.3118,37314,Thorton,2021-02-02 09:04:00,2021-02-02 12:09:00,185,185.60000000000002,161.01,1
34136,34180,20.6184,-103.339,19.1526,-96.1296,41580,Thorton,2021-02-02 09:17:00,2021-02-03 01:52:00,995,995.2,901.27,1
34080,34231,20.2764,-98.9544,19.7091,-99.2037,17457,Thorton,2021-02-02 09:25:00,2021-02-02 11:41:00,136,136.0,105.8,1
34080,34231,20.2764,-98.9544,19.7091,-99.2037,18317,Thorton,2021-02-02 09:25:00,2021-02-02 11:41:00,136,136.0,105.8,1
34080,34231,20.2764,-98.9544,19.7091,-99.2037,17582,Thorton,2021-02-02 09:25:00,2021-02-02 11:41:00,136,136.0,105.8,1
34080,34231,20.2764,-98.9544,19.7091,-99.2037,17512,Thorton,2021-02-02 09:25:00,2021-02-02 11:41:00,136,136.0,105.8,1
34580,34576,19.0739,-104.2868,19.4323,-99.1278,41319,Thorton,2021-02-02 09:36:00,2021-02-03 00:33:00,897,897.6,745.34,1
37955,37953,20.7245,-102.8872,20.7569,-103.4283,36314,Thorton,2021-02-02 10:23:00,2021-02-02 11:59:00,96,96.0,75.75,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,44252,Thorton,2021-02-02 10:49:00,2021-02-02 16:20:00,331,331.20000000000005,285.36,1
36106,33703,19.252,-98.2003,19.5374,-98.8335,16788,Thorton,2021-02-02 10:53:00,2021-02-02 12:53:00,120,120.0,100.74,1
35601,35596,25.5021,-100.9677,19.8885,-99.2431,20605,Thorton,2021-02-02 11:40:00,2021-02-03 03:52:00,972,972.8000000000001,794.79,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,33672,Thorton,2021-02-02 11:54:00,2021-02-02 17:25:00,331,331.20000000000005,285.36,1
33704,33934,20.6192,-103.3385,21.1007,-101.7145,40096,Thorton,2021-02-02 12:12:00,2021-02-02 16:10:00,238,238.4,212.87,1
34638,35009,19.5351,-96.9072,19.0253,-98.2067,22710,Thorton,2021-02-02 12:20:00,2021-02-02 15:48:00,208,208.0,176.0,1
34136,34138,20.6184,-103.339,25.7216,-100.3174,44722,Thorton,2021-02-02 12:28:00,2021-02-03 05:04:00,996,996.8000000000001,785.35,1
33815,34823,21.0559,-100.4705,27.4269,-99.5463,18785,Thorton,2021-02-02 12:32:00,2021-02-03 05:39:00,1027,1027.2,849.72,1
37018,37090,20.4616,-103.5171,25.7877,-100.2909,18090,Thorton,2021-02-02 12:42:00,2021-02-03 06:08:00,1046,1046.4,821.59,1
34136,34176,20.6184,-103.339,19.083,-98.2017,24873,Thorton,2021-02-02 13:02:00,2021-02-03 01:02:00,720,720.0,656.72,1
35599,35596,20.3687,-100.7933,19.8885,-99.2431,27681,Thorton,2021-02-02 13:26:00,2021-02-02 17:51:00,265,265.6,221.49,1
35601,35596,25.5021,-100.9677,19.8885,-99.2431,20583,Thorton,2021-02-02 14:18:00,2021-02-03 06:30:00,972,972.8000000000001,794.79,1
35601,35597,25.5021,-100.9677,20.721,-103.4845,36648,Thorton,2021-02-02 16:02:00,2021-02-03 07:36:00,934,934.4000000000001,725.02,1
35248,35454,19.6115,-99.2182,25.8491,-97.5053,44719,Thorton,2021-02-02 16:36:00,2021-02-03 12:32:00,1196,1196.8,925.24,1
