origin_id,dest_id,origin_lat,origin_long,dest_lat,dest_long,unidad,tipo_unidad,real_start,real_end,real_minutes,calculated_minutes,calculated_kms
35596,37739,19.8885,-99.2431,20.9449,-89.5688,20237,Thorton,2021-02-01 03:59:00,2021-02-02 20:27:00,2428,1582.4,1359.59
35248,35433,19.6115,-99.2182,17.0728,-96.7228,19912,Thorton,2021-02-01 04:00:00,2021-02-01 16:48:00,768,579.2,493.06
35601,36889,25.5021,-100.9677,27.479,-99.6252,32580,Thorton,2021-02-01 06:12:00,2021-02-01 10:42:00,270,331.20000000000005,285.36
35596,37739,19.8885,-99.2431,20.9449,-89.5688,20243,Thorton,2021-02-01 05:03:00,2021-02-02 18:01:00,2218,1582.4,1359.59
35130,35552,20.3008,-99.8961,14.6775,-92.1613,35535,Thorton,2021-02-01 13:00:00,2021-02-03 10:38:00,2738,1515.2,1269.88
35601,36889,25.5021,-100.9677,27.479,-99.6252,31788,Thorton,2021-02-01 13:34:00,2021-02-01 20:30:00,416,331.20000000000005,285.36
35601,36889,25.5021,-100.9677,27.479,-99.6252,34102,Thorton,2021-02-01 11:25:00,2021-02-01 17:27:00,362,331.20000000000005,285.36
35130,37739,20.3008,-99.8961,20.9449,-89.5688,20204,Thorton,2021-02-01 10:15:00,2021-02-02 18:01:00,1906,1673.6000000000001,1456.76
34550,35029,19.3264,-99.605,25.6488,-100.3031,36147,Thorton,2021-02-01 11:00:00,2021-02-02 16:43:00,1783,1084.8,887.57
34592,34579,25.4809,-99.8142,16.3224,-91.7911,35207,Thorton,2021-02-01 17:38:00,2021-02-03 09:59:00,2421,2123.2000000000003,1650.78
35599,35598,20.3687,-100.7933,25.8813,-100.2399,24026,Thorton,2021-02-01 19:40:00,2021-02-02 13:44:00,1084,960.0,778.63
35599,35551,20.3687,-100.7933,19.215,-96.1789,20910,Thorton,2021-02-01 19:40:00,2021-02-02 13:44:00,1084,697.6,615.8
35601,36889,25.5021,-100.9677,27.479,-99.6252,32580,Thorton,2021-02-01 16:25:00,2021-02-01 23:11:00,406,331.20000000000005,285.36
35752,35753,18.0072,-93.5873,17.9877,-93.1538,21872,Thorton,2021-02-01 17:04:00,2021-02-01 18:48:00,104,81.60000000000001,56.15
35596,37761,19.8885,-99.2431,17.9878,-92.981,28133,Thorton,2021-02-01 15:06:00,2021-02-02 08:00:00,1014,910.4000000000001,798.87
37726,35597,19.0712,-104.2896,20.721,-103.4845,37918,Thorton,2021-02-01 22:34:00,2021-02-02 05:22:00,408,347.20000000000005,293.45
37695,34470,20.4909,-103.5652,19.5872,-99.2106,32632,Thorton,2021-02-01 23:50:00,2021-02-02 09:22:00,572,625.6,555.1
37726,35597,19.0712,-104.2896,20.721,-103.4845,35265,Thorton,2021-02-01 21:22:00,2021-02-02 04:13:00,411,347.20000000000005,293.45
34619,35011,19.0891,-98.1941,17.0655,-96.725,18025,Thorton,2021-02-02 03:14:00,2021-02-02 13:44:00,630,385.6,336.19
33704,33700,20.6192,-103.3385,19.7268,-101.2069,16901,Thorton,2021-02-02 03:18:00,2021-02-02 13:19:00,601,326.40000000000003,286.25
34580,34576,19.0739,-104.2868,19.4323,-99.1278,41319,Thorton,2021-02-02 09:36:00,2021-02-03 12:52:00,1636,897.6,745.34
35602,36889,22.0765,-100.8912,27.479,-99.6252,29396,Thorton,2021-02-02 09:00:00,2021-02-02 19:28:00,628,880.0,724.35
33705,36461,19.7048,-99.2033,20.5706,-100.3118,37314,Thorton,2021-02-02 09:04:00,2021-02-02 12:32:00,208,185.60000000000002,161.01
34136,34180,20.6184,-103.339,19.1526,-96.1296,41580,Thorton,2021-02-02 09:17:00,2021-02-03 17:53:00,1956,995.2,901.27
34080,34231,20.2764,-98.9544,19.7091,-99.2037,17457,Thorton,2021-02-02 09:25:00,2021-02-02 12:29:00,184,136.0,105.8
34080,34231,20.2764,-98.9544,19.7091,-99.2037,18317,Thorton,2021-02-02 09:25:00,2021-02-02 12:32:00,187,136.0,105.8
34080,34231,20.2764,-98.9544,19.7091,-99.2037,17582,Thorton,2021-02-02 09:25:00,2021-02-02 12:31:00,186,136.0,105.8
34080,34231,20.2764,-98.9544,19.7091,-99.2037,17512,Thorton,2021-02-02 09:25:00,2021-02-02 13:56:00,271,136.0,105.8
35130,37775,20.3008,-99.8961,18.0398,-92.9048,20540,Thorton,2021-02-02 05:11:00,2021-02-03 14:17:00,1986,1017.6,908.19
34619,34622,19.0891,-98.1941,18.8585,-97.0805,34120,Thorton,2021-02-02 06:07:00,2021-02-02 09:02:00,175,164.8,146.02
34619,34649,19.0891,-98.1941,17.0619,-96.7148,18030,Thorton,2021-02-02 05:53:00,2021-02-02 17:16:00,683,385.6,337.09
34110,35718,19.6196,-99.1802,16.9071,-99.9626,17209,Thorton,2021-02-02 06:00:00,2021-02-02 13:00:00,420,492.8,422.58
35130,37746,20.3008,-99.8961,19.1659,-96.2267,27651,Thorton,2021-02-02 04:57:00,2021-02-02 21:05:00,968,585.6,514.42
35130,37747,20.3008,-99.8961,17.9801,-92.991,20150,Thorton,2021-02-02 04:57:00,2021-02-03 14:16:00,1999,1008.0,895.77
35602,37725,22.0765,-100.8912,19.8709,-99.2337,41518,Thorton,2021-02-02 06:55:00,2021-02-02 15:51:00,536,416.0,344.88
35602,35584,22.0765,-100.8912,19.3619,-99.1052,32416,Thorton,2021-02-02 06:55:00,2021-02-02 15:13:00,498,483.20000000000005,404.8
35602,35581,22.0765,-100.8912,19.389,-98.9778,27826,Thorton,2021-02-02 06:55:00,2021-02-02 19:51:00,776,476.8,403.11
35602,35581,22.0765,-100.8912,19.389,-98.9778,22420,Thorton,2021-02-02 06:55:00,2021-02-02 15:27:00,512,476.8,403.11
34137,34169,20.4886,-103.5597,19.1263,-98.2637,44704,Thorton,2021-02-02 05:00:00,2021-02-02 16:34:00,694,756.8000000000001,683.24
35597,35590,20.721,-103.4845,20.6756,-105.2473,28131,Thorton,2021-02-02 05:02:00,2021-02-02 15:35:00,633,372.8,306.15
33815,34823,21.0559,-100.4705,27.4269,-99.5463,18785,Thorton,2021-02-02 12:32:00,2021-02-03 04:48:00,976,1027.2,849.72
33704,33934,20.6192,-103.3385,21.1007,-101.7145,40096,Thorton,2021-02-02 12:12:00,2021-02-02 17:44:00,332,238.4,212.87
35601,36889,25.5021,-100.9677,27.479,-99.6252,32580,Thorton,2021-02-02 12:48:00,2021-02-02 19:08:00,380,331.20000000000005,285.36
35599,35596,20.3687,-100.7933,19.8885,-99.2431,27681,Thorton,2021-02-02 13:26:00,2021-02-02 17:00:00,214,265.6,221.49
37018,37090,20.4616,-103.5171,25.7877,-100.2909,18090,Thorton,2021-02-02 12:42:00,2021-02-03 13:45:00,1503,1046.4,821.59
34136,34176,20.6184,-103.339,19.083,-98.2017,24873,Thorton,2021-02-02 13:02:00,2021-02-03 10:39:00,1297,720.0,656.72
34136,34138,20.6184,-103.339,25.7216,-100.3174,44722,Thorton,2021-02-02 12:28:00,2021-02-03 08:25:00,1197,996.8000000000001,785.35
35601,35596,25.5021,-100.9677,19.8885,-99.2431,20583,Thorton,2021-02-02 14:18:00,2021-02-03 04:41:00,863,972.8000000000001,794.79
35601,36889,25.5021,-100.9677,27.479,-99.6252,33672,Thorton,2021-02-02 11:54:00,2021-02-02 19:44:00,470,331.20000000000005,285.36
35752,35753,18.0072,-93.5873,17.9877,-93.1538,21872,Thorton,2021-02-02 13:18:00,2021-02-02 15:38:00,140,81.60000000000001,56.15
35601,36889,25.5021,-100.9677,27.479,-99.6252,44252,Thorton,2021-02-02 10:49:00,2021-02-02 19:05:00,496,331.20000000000005,285.36
36106,33703,19.252,-98.2003,19.5374,-98.8335,16788,Thorton,2021-02-02 10:53:00,2021-02-02 13:22:00,149,120.0,100.74
35601,35596,25.5021,-100.9677,19.8885,-99.2431,20605,Thorton,2021-02-02 11:40:00,2021-02-02 23:36:00,716,972.8000000000001,794.79
37955,37953,20.7245,-102.8872,20.7569,-103.4283,36314,Thorton,2021-02-02 10:23:00,2021-02-02 13:19:00,176,96.0,75.75
34638,35009,19.5351,-96.9072,19.0253,-98.2067,22710,Thorton,2021-02-02 12:20:00,2021-02-02 19:02:00,402,208.0,176.0
35601,35596,25.5021,-100.9677,19.8885,-99.2431,20766,Thorton,2021-02-02 18:43:00,2021-02-03 07:59:00,796,972.8000000000001,794.79
35599,35564,20.3687,-100.7933,25.7652,-100.2408,27673,Thorton,2021-02-02 17:32:00,2021-02-03 11:52:00,1100,972.8000000000001,780.86
35601,35596,25.5021,-100.9677,19.8885,-99.2431,22945,Thorton,2021-02-02 18:46:00,2021-02-03 07:39:00,773,972.8000000000001,794.79
38201,35011,27.4345,-99.5591,17.0655,-96.725,44724,Thorton,2021-02-02 18:55:00,2021-02-04 09:58:00,2343,1816.0,1553.63
35599,35566,20.3687,-100.7933,25.7026,-100.3251,30058,Thorton,2021-02-02 18:12:00,2021-02-03 11:52:00,1060,948.8000000000001,765.91
35248,35403,19.6115,-99.2182,25.5778,-103.4072,20069,Thorton,2021-02-02 19:28:00,2021-02-03 17:57:00,1349,1156.8,963.25
35601,35596,25.5021,-100.9677,19.8885,-99.2431,39386,Thorton,2021-02-02 18:14:00,2021-02-03 12:15:00,1081,972.8000000000001,794.79
35248,35328,19.6115,-99.2182,20.6599,-103.4219,19933,Thorton,2021-02-02 18:53:00,2021-02-03 12:50:00,1077,592.0,526.48
35601,35596,25.5021,-100.9677,19.8885,-99.2431,20822,Thorton,2021-02-02 18:55:00,2021-02-03 12:33:00,1058,972.8000000000001,794.79
35599,36889,20.3687,-100.7933,27.479,-99.6252,44751,Thorton,2021-02-02 18:20:00,2021-02-03 23:43:00,1763,1171.2,966.48
35601,35597,25.5021,-100.9677,20.721,-103.4845,20821,Thorton,2021-02-02 18:22:00,2021-02-03 14:56:00,1234,934.4000000000001,725.02
38078,34313,14.6765,-92.1556,19.151,-98.8605,17497,Thorton,2021-02-02 23:08:00,2021-02-04 16:25:00,2477,1363.2,1104.93
35602,35596,22.0765,-100.8912,19.8885,-99.2431,25917,Thorton,2021-02-02 17:11:00,2021-02-03 00:01:00,410,422.40000000000003,347.49
